Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered
,World,"2,10,71,038","13,250","7,57,457",738
USA,USA,"54,15,666",,"1,70,415",
Brazil,Brazil,"32,29,621",,"1,05,564",
India,India,"24,61,542","1,929","48,153",9
Russia,Russia,"9,07,758",,"15,384",
South Africa,South Africa,"5,72,865",,"11,270",
Peru,Peru,"5,07,996",,"25,648",
Mexico,Mexico,"5,05,751","7,371","55,293",627
Colombia,Colombia,"4,33,805",,"14,145",
Chile,Chile,"3,80,034",,"10,299",
Spain,Spain,"3,55,856",,"28,605",
Iran,Iran,"3,36,324",,"19,162",
UK,UK,"3,13,798",,"41,347",
Saudi Arabia,Saudi Arabia,"2,94,519",,"3,303",
Pakistan,Pakistan,"2,86,674",,"6,139",
Argentina,Argentina,"2,76,072",,"5,362",
Bangladesh,Bangladesh,"2,69,115",,"3,557",
Italy,Italy,"2,52,235",,"35,231",
Turkey,Turkey,"2,45,635",,"5,912",
Germany,Germany,"2,22,269",,"9,281",
France,France,"2,09,365",,"30,388",
Iraq,Iraq,"1,64,277",,"5,641",
Philippines,Philippines,"1,47,526",,"2,426",
Indonesia,Indonesia,"1,32,816",,"5,968",
Canada,Canada,"1,21,234",,"9,015",
Qatar,Qatar,"1,14,281",,190,
Kazakhstan,Kazakhstan,"1,01,848",476,"1,269",
Ecuador,Ecuador,"98,343",,"6,010",
Bolivia,Bolivia,"96,459","1,388","3,884",57
Egypt,Egypt,"96,108",,"5,107",
Israel,Israel,"89,822",,651,
Ukraine,Ukraine,"86,140",,"1,992",
Sweden,Sweden,"83,852",,"5,776",
Dominican Republic,Dominican Republic,"83,134",,"1,393",
Oman,Oman,"82,531",,551,
Panama,Panama,"78,446",,"1,722",
Belgium,Belgium,"76,191",544,"9,916",16
Kuwait,Kuwait,"74,486",,489,
Belarus,Belarus,"69,203",,599,
Romania,Romania,"66,631",,"2,860",
UAE,UAE,"63,489",,358,
Netherlands,Netherlands,"61,204",,"6,165",
Guatemala,Guatemala,"60,284",,"2,296",
Singapore,Singapore,"55,497",,27,
Poland,Poland,"54,487",,"1,844",
Portugal,Portugal,"53,548",,"1,770",
Japan,Japan,"51,147",,"1,063",
Honduras,Honduras,"49,042",385,"1,542",9
Nigeria,Nigeria,"48,116",,966,
Bahrain,Bahrain,"45,726",,167,
Ghana,Ghana,"41,725",,223,
Kyrgyzstan,Kyrgyzstan,"41,373",304,"1,491",4
Armenia,Armenia,"41,023",,809,
Morocco,Morocco,"37,935",,584,
Afghanistan,Afghanistan,"37,424",,"1,363",
Switzerland,Switzerland,"37,403",,"1,991",
Algeria,Algeria,"37,187",,"1,341",
Azerbaijan,Azerbaijan,"33,915",,500,
Uzbekistan,Uzbekistan,"33,561",238,218,2
Venezuela,Venezuela,"30,369",,259,
Moldova,Moldova,"29,087",,878,
Serbia,Serbia,"28,998",,661,
Kenya,Kenya,"28,754",,460,
Ireland,Ireland,"26,929",,"1,774",
Ethiopia,Ethiopia,"26,204",,479,
Costa Rica,Costa Rica,"26,129",,272,
Nepal,Nepal,"24,957",,95,
Australia,Australia,"22,741",383,375,14
Austria,Austria,"22,594",,725,
El Salvador,El Salvador,"21,993",,584,
Czechia,Czechia,"19,401",,391,
Cameroon,Cameroon,"18,308",,401,
Ivory Coast,Ivory Coast,"16,889",,107,
Palestine,Palestine,"15,491",,106,
Denmark,Denmark,"15,214",,621,
Bosnia and Herzegovina,Bosnia and Herzegovina,"15,184",,458,
S. Korea,S. Korea,"14,873",103,305,
Bulgaria,Bulgaria,"14,069",,484,
Madagascar,Madagascar,"13,522",,162,
North Macedonia,North Macedonia,"12,357",,532,
Sudan,Sudan,"12,115",,792,
Senegal,Senegal,"11,740",,244,
Norway,Norway,"9,851",,257,
DRC,DRC,"9,589",,234,
Malaysia,Malaysia,"9,129",,125,
Zambia,Zambia,"8,663",,246,
French Guiana,French Guiana,"8,471",,51,
Paraguay,Paraguay,"8,389",,97,
Guinea,Guinea,"8,198",,50,
